ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.49333333333333335,,,,0.7758620689655173,0,0,0.0,0,0
0.5266666666666666,,,,0.7343749999999999,0,0,0.0,0,0
0.5366666666666666,,,,0.8879310344827587,0,0,0.0,0,0
0.5266666666666666,,,,0.7153846153846154,0,0,0.0,0,0
0.49,,,,0.97,0,0,0.0,1,0
0.44333333333333336,,,,0.83,0,0,0.0,1,0
0.44333333333333336,,,,0.83,0,0,0.0,1,0
0.52,,,,0.9433962264150942,0,0,0.0,1,0
0.49666666666666665,,,,0.99,0,0,0.0,1,0
0.4633333333333333,,,,0.8365384615384615,0,0,0.0,0,0
