ACC,BalancedACC,drift-id,gm-id
0.06761006289308176,0.7916666666666667,0,"[[0, 1]]"
0.910377358490566,0.996551724137931,0,"[[0, 1]]"
0.7955974842767296,0.775438596491228,1,"[[0, 1]]"
0.8270440251572327,0.7651006711409395,1,"[[0, 1]]"
0.8867924528301887,0.9651567944250871,1,"[[3, 1]]"
0.9198113207547169,0.9830508474576272,1,"[[3, 1]]"
0.9056603773584906,0.9930795847750865,1,"[[3, 1]]"
0.8962264150943396,0.9791666666666667,1,"[[3, 1]]"
0.8663522012578616,0.8245033112582781,0,"[[3, 1]]"
0.8474842767295597,0.802675585284281,0,"[[0, 1]]"
0.9544025157232704,0.9517684887459807,0,"[[3, 1]]"
