ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,drift-id,gm-id
0.8457142857142858,0.4327923059463501,0.48784828186035156,0.3777364194393158,0.9799331103678929,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x137faafd0>
0.8685714285714285,0.4344438314437866,0.4087575078010559,0.4601300358772278,0.9487179487179487,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x163c900f0>
0.8785714285714286,0.5023455619812012,0.5440407991409302,0.46065038442611694,0.977491961414791,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x137f31048>
0.8614285714285714,0.5589082837104797,0.4841933250427246,0.6336233019828796,0.9705882352941175,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x137f1bac8>
0.7814285714285715,1.7042349576950073,0.4605560302734375,2.9479143619537354,0.775974025974026,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x137f49748>
0.7914285714285715,0.770930290222168,0.8239352107048035,0.7179253697395325,0.9715302491103204,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x163c90278>
0.8428571428571429,0.5283877849578857,0.4777708351612091,0.5790047645568848,0.9536423841059603,2,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x160088a90>
0.7971428571428572,1.505365014076233,0.613981306552887,2.3967490196228027,0.847682119205298,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x1606f2908>
0.87,0.5569488406181335,0.6104127168655396,0.5034850239753723,0.9772727272727272,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x1645ea208>
0.9028571428571428,0.3927522599697113,0.39309558272361755,0.3924088478088379,0.9811912225705329,0,<federated.algorithms.fair_fed_drift.ClientIdentity.ClientIdentity object at 0x160c0b390>
