ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.5133333333333333,,,,0.8050847457627118,0,0,0.0,0,0
0.5333333333333333,,,,0.6594202898550725,0,0,0.0,0,0
0.44666666666666666,,,,0.7407407407407407,0,0,0.0,0,0
0.51,,,,0.8421052631578948,0,0,0.0,0,0
0.4766666666666667,,,,0.93,0,0,0.0,1,0
0.44666666666666666,,,,0.84,0,0,0.0,1,1
0.48333333333333334,,,,0.95,0,0,0.0,1,1
0.5033333333333333,,,,0.9900990099009901,0,0,0.0,1,1
0.46,,,,0.88,0,0,0.0,1,1
0.5166666666666667,,,,0.7704918032786885,0,0,0.0,0,1
