,0,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0
3,0,0,0,2,0,3,0,4-5,4-5,6
4,0,0,0,0,0,3,4-5,4-5,4-5,4-5
5,2,0,0,0,0,4-5,4-5,4-5,4-5,4-5
6,2,7,8,9,10,4-5,4-5,4-5,4-5,4-5
7,9,10,9,2-8,2-8,4-5,4-5,4-5,4-5,4-5
8,9,10,2-8,10,10,4-5,4-5,4-5,4-5,4-5
9,9-2-8,9-2-8,9-2-8,0,0,0,0,0,4-5,4-5
10,10-9-2-8,10-9-2-8,10-9-2-8,0,0,0,0,0,4-5,4-5
