ACC,BalancedACC,drift-id,gm-id
0.14779874213836477,0.09610215053763442,0,"[[0, 1]]"
0.7028301886792453,0.8303789731051345,0,"[[0, 1]]"
0.8144654088050315,0.7075520833333333,1,"[[0, 1]]"
0.8757861635220126,0.7665692007797271,1,"[[0, 1]]"
0.839622641509434,0.7432809330628803,1,"[[0, 1]]"
0.8490566037735849,0.7732645875251509,1,"[[4, 1]]"
0.8522012578616353,0.9082825203252033,1,"[[4, 1]]"
0.8459119496855346,0.7763888888888889,1,"[[4, 1]]"
0.8522012578616353,0.9283350305498981,1,"[[4, 1]]"
0.8553459119496856,0.8649193548387097,1,"[[4, 1]]"
0.8726415094339622,0.9633233532934132,1,"[[4, 1]]"
