ACC,BalancedACC,drift-id,gm-id
0.08176100628930817,0.6774193548387096,0,[0]
0.9009433962264151,0.9690721649484536,0,[0]
0.7908805031446541,0.7711267605633803,1,[0]
0.8584905660377359,0.9854545454545455,1,[2]
0.8867924528301887,0.9651567944250871,1,[8]
0.9135220125786163,0.9897260273972603,1,[9]
0.8679245283018868,0.9233449477351916,1,[9]
0.9213836477987422,0.9931972789115646,1,[9]
0.8144654088050315,0.744107744107744,0,[9]
0.8238993710691824,0.9699248120300752,0,[18]
0.9056603773584906,0.9328859060402684,0,[22]
