ACC,BalancedACC,drift-id,gm-id
0.13679245283018868,0.0,0,[0]
0.7154088050314465,0.9487179487179488,0,[0]
0.7940251572327044,0.7065972222222222,1,[0]
0.7940251572327044,0.7272483940042827,1,[3]
0.789308176100629,0.7319504310344828,1,[6]
0.8223270440251572,0.8618972746331236,1,[4]
0.8679245283018868,0.8318069306930692,1,[4]
0.8474842767295597,0.7944444444444444,1,[2]
0.8317610062893082,0.5373246492985971,0,[9]
0.7783018867924528,0.7220251091703056,0,[10]
0.8946540880503144,0.898936170212766,0,[0]
