ACC,BalancedACC,drift-id,gm-id
0.0660377358490566,0.75,0,[0]
0.8694968553459119,0.9679715302491104,0,[0]
0.8333333333333334,0.802721088435374,1,[0]
0.7452830188679245,0.9426229508196721,1,[6]
0.8474842767295597,0.988929889298893,1,[1]
0.9166666666666666,0.9897610921501706,1,[1]
0.6336477987421384,0.7521739130434782,1,[12]
0.860062893081761,0.9818840579710145,1,[11]
0.9418238993710691,0.9834437086092715,1,[11]
0.9323899371069182,0.9832775919732442,1,[11]
0.8867924528301887,0.9381443298969072,1,[11]
