ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.4945054945054945,0.8962264150943396,0.0,0.0,0.0,0,[0]
0.7967032967032966,0.9845201238390092,0.98376480912681,0.9918831168831169,0.9399415584415585,0,[0]
0.7967032967032966,0.9964922983071525,0.6942995864053229,0.9790123456790124,0.847996738877242,0,[0]
0.8626373626373627,0.9211612548156302,0.9636544685088374,0.9847480106100797,0.672766162167785,0,[0]
0.8571428571428571,0.9664516129032258,0.9776192818494834,0.9412429378531074,0.6841631355932204,0,[0]
0.8406593406593407,0.9025700595324524,0.9704877291084187,0.9642857142857143,0.5764411027568922,0,[0]
0.7747252747252747,0.9811529933481152,0.8708333333333332,0.9689689689689689,0.866837425660955,1,[4]
0.7637362637362637,0.8595471236230109,0.9305499799277398,0.8555555555555556,0.7686299081035923,1,[4]
0.7252747252747253,0.9279661016949152,0.8773584905660377,0.8708951866846604,0.9004931860474974,1,[6]
0.7802197802197802,0.9144385026737968,0.8863636363636364,0.9232954545454546,0.7600695350202165,0,[0]
0.8296703296703297,0.9882352941176469,0.6069979716024341,0.8376220053238687,0.7583171755014404,0,[0]
