ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.46153846153846156,0.7624242424242424,0.0,0.0,0.0,0,0
0.7637362637362637,0.8340992647058824,0.7101865136298422,0.6830985915492959,0.7831077373330895,0,0
0.7912087912087912,0.8027421494913756,0.7612456747404844,0.7291666666666666,0.767568407960199,0,0
0.7912087912087912,0.9567099567099567,0.9460055096418731,0.8837209302325582,0.9165440094200765,0,0
0.7802197802197802,0.8959276018099548,0.959922430510666,0.9701492537313434,0.8643849716932579,0,0
0.8846153846153846,0.9337121212121212,0.7993079584775087,0.9012345679012346,0.7687991021324354,0,0
0.7197802197802198,0.9787444389520515,0.8757575757575757,0.9195402298850575,0.8597701149425288,1,0
0.8296703296703297,0.9143222506393861,0.9034965034965036,0.9578947368421052,0.8075187969924812,1,0
0.8296703296703297,0.9143222506393861,0.856401384083045,0.7893569844789358,0.7113451589061346,1,0
0.8681318681318682,0.9436274509803922,0.9609784507862552,0.9347826086956522,0.8098570577724836,0,0
0.8516483516483516,0.5983078162771958,0.9469153515064561,0.5855263157894737,0.3796052631578947,0,0
