ACC,BalancedACC,drift-id,gm-id
0.0706436420722135,0.07165318957771788,0,"[[0, 1]]"
0.7880690737833596,0.981104489077775,0,"[[0, 1]]"
0.8320251177394035,0.9806861916830939,0,"[[0, 1]]"
0.8226059654631083,0.9436990449569067,0,"[[0, 1]]"
0.8571428571428571,0.9460260972716489,0,"[[0, 1]]"
0.7864992150706437,0.8445592859785422,2,"[[0, 1]]"
0.8712715855572999,0.9720322627427793,2,"[[0, 1]]"
0.858712715855573,0.9849717436879045,2,"[[0, 1]]"
0.8634222919937206,0.9896415428649311,2,"[[0, 1]]"
0.7959183673469388,0.9454926624737946,2,"[[4, 1]]"
0.8508634222919937,0.925913943707538,2,"[[4, 1]]"
