ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.489010989010989,0.7670454545454546,0.0,0.0,0.0,0,0
0.7527472527472527,0.8943089430894309,0.9117647058823529,0.9702233250620347,0.8235732009925558,0,0
0.8516483516483516,0.9887640449438203,0.8677248677248678,0.9909909909909911,0.972460265143192,0,0
0.8351648351648352,0.9696969696969697,0.9393939393939392,0.9355509355509355,0.9423125048125047,1,0
0.8351648351648352,0.8695652173913044,0.8541666666666666,0.9113573407202216,0.5872576177285318,1,0
0.7967032967032966,0.7912087912087913,0.7092198581560284,0.6286031042128604,0.5918015521064302,1,0
0.7967032967032966,0.9147286821705427,0.8533333333333334,0.8287526427061311,0.8715191784959226,1,0
0.8186813186813187,0.8260869565217391,0.7199999999999999,0.6865530303030304,0.7128417325428196,1,0
0.8131868131868132,0.8351648351648351,0.8597560975609756,0.8363636363636364,0.6461511668408221,1,0
0.8626373626373627,0.9816176470588235,0.9251700680272109,0.9642857142857143,0.9196428571428572,0,0
0.8791208791208791,0.9605734767025089,0.8148148148148148,0.9093137254901961,0.9376114081996434,0,0
