ACC,BalancedACC,drift-id,gm-id
0.08176100628930817,0.10638297872340426,0,[0]
0.7830188679245284,0.9453125,0,[0]
0.8427672955974843,0.9851851851851852,0,[0]
0.8411949685534591,0.9888475836431226,0,[0]
0.8632075471698113,0.9537366548042705,0,[0]
0.7814465408805031,0.8138686131386861,2,[0]
0.8647798742138365,0.971326164874552,2,[0]
0.8443396226415094,0.981549815498155,2,[0]
0.7610062893081762,0.819548872180451,0,[0]
0.7861635220125787,0.8726591760299625,0,[3]
0.8411949685534591,0.996268656716418,0,[2]
