ACC,Loss,LossPrivileged,LossUnprivileged,AEQ,OEQ,OPP,MEQ,MPP,drift-id,gm-id,gm-name
0.5116666666666667,4.7091193,4.697636,4.8124633,0.4300341296928327,0.17114512471655327,0.23273809523809522,0.0,0.0,0,0,0
0.6016666666666667,4.6357493,4.6372523,4.6222157,0.5278592375366569,0.25115670381627825,0.2394142316017316,0.0,0.0,1,0,0
0.605,4.6275487,4.6274877,4.6280985,0.44219653179190754,0.24786101432442897,0.24532520325203253,0.0,0.0,1,0,0
0.635,4.6464853,4.645229,4.6577916,0.3688524590163934,0.20538302277432713,0.19975108225108223,0.0,0.0,1,0,0
0.63,4.6382318,4.6394105,4.6276164,0.45,0.26787108093926276,0.29955202455202457,0.0,0.0,2,0,0
0.66,4.6426463,4.6468787,4.6045537,0.504,0.30395021645021647,0.31851851851851853,0.0,0.0,2,0,0
0.6233333333333333,4.64317,4.646114,4.616672,0.40223463687150834,0.20468591691995947,0.24669669669669672,0.0,0.0,2,0,0
0.6566666666666666,4.6158905,4.6166115,4.6093993,0.380952380952381,0.2125,0.22678571428571428,0.0,0.0,1,0,0
0.64,4.620825,4.621941,4.6107764,0.44262295081967207,0.2625,0.3474738675958188,0.0,0.0,1,0,0
