ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.45588235294117646,0.653225806451613,0.0,0.0,0.0,0,0
0.8088235294117647,0.8104575163398692,0.7732426303854875,0.91900826446281,0.7832262816416278,0,0
0.8345588235294118,0.9439102564102564,0.861111111111111,0.9140893470790379,0.8861491511514592,0,0
0.8639705882352942,0.8571428571428571,0.8104575163398693,0.9533582089552239,0.7747183201638865,0,0
0.8529411764705882,0.6636085626911316,0.7785388127853881,0.607638888888889,0.5121527777777778,0,0
0.8970588235294118,0.9730941704035876,0.8502304147465437,0.9263285024154589,0.5881642512077294,0,0
0.8198529411764706,0.6396825396825396,0.9805352798053528,0.6688218390804599,0.5170196151924038,1,0
0.8382352941176471,0.6760124610591901,0.967741935483871,0.7493112947658402,0.5442985045257773,1,0
0.8235294117647058,0.7416267942583732,0.903225806451613,0.841304347826087,0.6307362075264888,1,0
0.8455882352941176,0.9304897314375987,0.5786666666666667,0.8095238095238095,0.7529761904761905,0,0
0.9007352941176471,0.9340813464235623,0.9241192411924118,0.907563025210084,0.7609243697478991,0,0
