ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.5182724252491694,,,,0.7395411605937922,0,0,0.0,0,0
0.5149501661129569,,,,0.9572649572649572,0,0,0.0,0,0
0.4418604651162791,,,,0.6552706552706552,0,0,0.0,0,0
0.49169435215946844,,,,0.9094017094017094,0,0,0.0,0,0
0.42524916943521596,,,,0.8351648351648352,0,0,0.0,1,0
0.4418604651162791,,,,0.8717948717948718,0,0,0.0,1,0
0.4186046511627907,,,,0.8205128205128205,0,0,0.0,1,0
0.44518272425249167,,,,0.8791208791208791,0,0,0.0,1,0
0.47840531561461797,,,,0.9523809523809523,0,0,0.0,1,0
0.44518272425249167,,,,0.7564102564102565,0,0,0.0,0,0
