ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.4945054945054945,0.756198347107438,0.0,0.0,0.0,0,[0]
0.7967032967032966,0.9815785026195707,0.48249889233495796,0.7457627118644068,0.6539419619928095,0,[0]
0.7967032967032966,0.8641454309365363,0.904291224686596,0.8663522012578616,0.8002395926924228,0,[0]
0.8461538461538461,0.8448694596235579,0.7934426229508196,0.7555555555555555,0.7079664570230608,1,[0]
0.8406593406593407,0.9345838587641866,0.7714025500910746,0.875,0.9041666666666667,1,[0]
0.7802197802197802,0.8331147540983607,0.6818647540983607,0.6483704974271011,0.7008086253369271,1,[0]
0.7747252747252747,0.6800936768149883,0.7505538325210457,0.59375,0.5800994008714597,1,[3]
0.6153846153846154,0.9016393442622951,0.9918032786885246,0.9545454545454545,0.9353337294513764,1,[4]
0.6318681318681318,0.9039219755135919,0.8182377049180328,0.7843137254901962,0.8327038306404608,1,[4]
0.7197802197802198,0.9036429872495446,0.9522497704315885,0.9865384615384616,0.9039681091126303,0,[4]
0.9120879120879121,0.93872898261613,0.7513661202185793,0.9725274725274725,0.5748351648351648,0,[0]
