ACC,BalancedACC,drift-id,gm-id
0.14779874213836477,0.09610215053763442,0,"[[0, 1]]"
0.7028301886792453,0.8303789731051345,0,"[[0, 1]]"
0.8270440251572327,0.73559670781893,1,"[[0, 1]]"
0.8144654088050315,0.768212788259958,1,"[[4, 1]]"
0.8427672955974843,0.7795385395537525,1,"[[0, 1]]"
0.8537735849056604,0.807605421686747,1,"[[5, 1]]"
0.8443396226415094,0.9176078028747434,1,"[[5, 1]]"
0.8427672955974843,0.7795385395537525,1,"[[5, 1]]"
0.8632075471698113,0.9351106639839034,1,"[[9, 1]]"
0.85062893081761,0.9504089979550102,1,"[[9, 1]]"
0.8773584905660378,0.8796751968503936,1,"[[9, 1]]"
