ACC,BalancedACC,drift-id,gm-id
0.06132075471698113,0.7608391608391608,0,"[[0, 1]]"
0.9261006289308176,0.9762241054613936,0,"[[0, 1]]"
0.9386792452830188,0.6937048736462094,0,"[[0, 1]]"
0.860062893081761,0.6861466535433071,0,"[[6, 1]]"
0.89937106918239,0.8748800383877159,0,"[[3, 1]]"
0.9355345911949685,0.7488615664845173,2,"[[3, 1]]"
0.9040880503144654,0.8511904761904762,2,"[[6, 1]]"
0.9182389937106918,0.9292296786389415,2,"[[4, 1]]"
0.970125786163522,0.8572380106571936,2,"[[4, 1]]"
0.9449685534591195,0.8823126142595978,2,"[[4, 1]]"
0.9371069182389937,0.9813137681990141,2,"[[4, 1]]"
