ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.49169435215946844,,,,0.6202686202686203,0,0,0.0,0,0
0.5382059800664452,,,,0.8748114630467573,0,0,0.0,0,0
0.4883720930232558,,,,0.7843137254901961,0,0,0.0,0,0
0.45182724252491696,,,,0.7179487179487181,0,0,0.0,0,0
0.49169435215946844,,,,0.9816849816849816,0,0,0.0,1,0
0.5116279069767442,,,,0.9750000000000001,0,0,0.0,1,1
0.48172757475083056,,,,0.9597069597069597,0,0,0.0,1,1
0.4485049833887043,,,,0.8864468864468864,0,0,0.0,1,1
0.44518272425249167,,,,0.8791208791208791,0,0,0.0,1,1
0.4584717607973422,,,,0.9861932938856015,0,0,0.0,0,1
