ACC,BalancedACC,drift-id,gm-id
0.0706436420722135,0.07165318957771788,0,[0]
0.7817896389324961,0.9576185421963319,0,[0]
0.8226059654631083,0.995516177631107,0,[0]
0.8414442700156985,0.9736403995560489,0,[0]
0.8649921507064364,0.9569003969847005,0,[0]
0.792778649921507,0.8457168434099985,2,[0]
0.814756671899529,0.9554858934169278,2,[8]
0.8084772370486656,0.968685486581209,2,[12]
0.8524332810047096,0.9848390947068815,2,[14]
0.7645211930926217,0.799554410638446,2,[0]
0.8634222919937206,0.8743834722415398,2,[14]
