ACC,BalancedACC,drift-id,gm-id
0.14779874213836477,0.09610215053763442,0,"[[0, 1]]"
0.7028301886792453,0.8303789731051345,0,"[[0, 1]]"
0.8254716981132075,0.7371134020618556,1,"[[0, 1]]"
0.8238993710691824,0.8192708333333333,1,"[[4, 1]]"
0.800314465408805,0.8456989247311828,1,"[[8, 1]]"
0.8270440251572327,0.8361486486486486,1,"[[8, 1]]"
0.8317610062893082,0.9535826359832636,1,"[[2, 1]]"
0.8191823899371069,0.8244234800838574,1,"[[2, 1]]"
0.8066037735849056,0.8384861407249468,1,"[[5, 1]]"
0.8254716981132075,0.7973288381742738,1,"[[12, 1]]"
0.8380503144654088,0.9252070393374742,1,"[[5, 1]]"
