ACC,BalancedACC,drift-id,gm-id
0.4918032786885246,0.5469094575011026,0,"[[0, 1]]"
0.8287795992714025,0.9407226516930831,0,"[[0, 1]]"
0.6010928961748634,0.9581238078723773,1,"[[0, 1]]"
0.6320582877959927,0.9534491967623977,1,"[[0, 1]]"
0.6885245901639344,0.9734488009135895,1,"[[0, 1]]"
0.6265938069216758,0.9623291244912866,1,"[[0, 1]]"
0.6502732240437158,0.9148894541185677,1,"[[0, 1]]"
0.4918032786885246,0.8298239040839265,1,"[[1, 1]]"
0.6211293260473588,0.7593834282289481,0,"[[0, 1]]"
0.7504553734061931,0.998780487804878,0,"[[1, 1]]"
0.75591985428051,0.7953531481714214,0,"[[1, 1]]"
