ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.4429530201342282,,,,0.5684984520123839,0,0,0.0,0,0
0.47651006711409394,,,,0.9485294117647058,0,0,0.0,1,0
0.44966442953020136,,,,0.8897058823529411,0,0,0.0,1,1
0.4966442953020134,,,,0.9926470588235294,0,0,0.0,1,1
0.4563758389261745,,,,0.9044117647058824,0,0,0.0,1,1
0.4966442953020134,,,,0.9926470588235294,0,0,0.0,1,1
0.4597315436241611,,,,0.9117647058823529,0,0,0.0,1,1
0.44966442953020136,,,,0.8897058823529411,0,0,0.0,1,1
0.4395973154362416,,,,0.8676470588235294,0,0,0.0,1,1
0.5201342281879194,,,,0.9627100840336136,0,0,0.0,0,1
