ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.5714285714285714,0.626595744680851,0.0,0.0,0.0,0,0
0.8131868131868132,0.9199766355140186,0.6657777777777779,0.9748563218390806,0.7048194652673663,0,0
0.7857142857142857,0.9038054968287527,0.7153502235469449,0.8403361344537815,0.8738717709305944,0,0
0.8736263736263736,0.9865248226950355,0.7718032786885246,0.9531345100426049,0.8941808913849387,0,0
0.8571428571428571,0.8955678670360111,0.9298245614035088,0.9037690457097034,0.6809293571628439,0,0
0.8021978021978022,0.9149999999999999,0.9854198089492208,0.9629629629629629,0.7614814814814814,0,0
0.7527472527472527,0.887185104052574,0.9224598930481283,0.8426812585499317,0.8750297972498482,1,0
0.8351648351648352,0.9652916073968706,0.8466732869910626,0.911111111111111,0.8666666666666666,1,0
0.8351648351648352,0.9188903965023367,0.8942366026289181,0.9924603174603175,0.6851836471022518,1,0
0.8406593406593407,0.9031986531986532,0.6735966735966736,0.9449999999999998,0.5963095238095237,0,0
0.8956043956043956,0.9557377049180328,0.8655737704918033,0.9319526627218935,0.7528615772625861,0,0
