ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.45054945054945056,0.6802325581395349,0.0,0.0,0.0,0,0
0.7252747252747253,0.9824561403508772,0.8108108108108107,0.982615268329554,0.8991507714196789,0,0
0.8461538461538461,1.0,0.7948717948717948,0.8750000000000001,0.8002272727272728,0,0
0.8626373626373627,0.9816176470588235,0.9121621621621623,0.896551724137931,0.5542541229385307,0,0
0.8241758241758241,0.9138576779026217,0.6060606060606061,0.7699346405228757,0.7659197012138188,0,0
0.8406593406593407,0.8840579710144928,0.7238095238095237,0.8799576943416182,0.8806038471708091,0,0
0.7582417582417582,0.8835341365461847,0.8066037735849056,0.9871794871794872,0.7582956259426847,1,0
0.8186813186813187,0.8260869565217391,0.9100529100529101,0.7928853754940711,0.7124920704630849,1,0
0.8351648351648352,0.9264705882352942,0.8125,0.9647058823529412,0.7255961844197139,1,0
0.8791208791208791,0.9361702127659575,0.8333333333333334,0.9353846153846154,0.5465613553113553,0,0
0.8296703296703297,0.9659090909090909,0.9866666666666666,0.9000528820729772,0.7678558984008297,0,0
