ACC,Loss,LossPrivileged,LossUnprivileged,BalancedACC,drift-id,gm-id
0.9442857142857143,0.20969531,0.2038453,0.7888444,0.7545731707317074,0,0
0.9714285714285714,0.12062177,0.10640504,1.5280777,0.7333333333333334,1,0
0.9385714285714286,0.23456879,0.21701613,1.9722805,0.4541284403669724,1,1
0.9628571428571429,0.13086735,0.12101399,1.1063488,0.7399103139013453,1,1
0.9728571428571429,0.118106246,0.09878889,2.030523,0.43805309734513276,1,1
0.9528571428571428,0.19501844,0.17507403,2.169517,0.447289156626506,1,1
0.9685714285714285,0.117240995,0.09482863,2.3360648,0.44,1,1
0.9514285714285714,0.19419822,0.15872851,3.7056978,0.44796380090497734,0,1
0.9814285714285714,0.061624654,0.033934645,2.8029354,0.43421052631578944,0,0
0.9742857142857143,0.08319823,0.082985185,0.10428887,0.9740259740259741,0,0
