ACC,BalancedACC,SP,EO,EQO,drift-id,gm-id
0.5845588235294118,0.7666666666666666,0.0,0.0,0.0,0,0
0.8419117647058824,0.9913043478260869,0.7419354838709677,0.919811320754717,0.9081379836096817,0,0
0.8345588235294118,0.907563025210084,0.7142857142857143,0.8426877470355733,0.8203586518429098,0,0
0.4227941176470588,0.8548387096774194,0.6333333333333334,0.6219512195121951,0.660769848439225,1,0
0.7205882352941176,0.814814814814815,0.8470588235294118,0.7858996539792388,0.7829633222662726,1,0
0.6213235294117647,0.7422680412371133,0.8205128205128205,0.6454545454545455,0.7237529137529137,1,0
0.6139705882352942,0.9880952380952381,0.8441558441558441,0.8635794743429287,0.8423289528577389,1,0
0.7205882352941176,0.814814814814815,0.8444444444444446,0.8122481869460114,0.8031021154510277,1,0
0.7610294117647058,0.8157894736842105,0.8961038961038961,0.8063725490196079,0.6913218677301429,1,0
0.8676470588235294,0.9831932773109244,0.8030303030303031,0.9655388471177944,0.8181860902255638,0,0
0.8823529411764706,0.9672131147540984,0.6799999999999999,0.9497378970089424,0.8862711056693402,0,0
